column,row_count,na_count,zero_count,one_count,min,p25,median,p75,max,mean,std,iqr,outlier_threshold,outlier_count
pedestrian_10h,16218,0,0,0,4.000368377328341e-06,10.102506654855077,33.85827601338654,90.26030689456881,1701.772820742581,63.46883361080258,80.3886438658115,80.15780023971374,210.49700725413942,987
pedestrian_18h,16218,0,0,0,3.4550587235044836e-06,11.133873306316255,28.866335666053747,80.64326879967129,1806.1426464484991,57.90186476137607,74.27712749311696,69.50939549335503,184.90736203970383,915
pedestrian_22h,16218,0,0,0,2.4583193913146816e-06,8.483705412024312,23.580679253934907,64.13663945895217,3183.4763334406975,45.46638674312504,68.37177938188262,55.65293404692786,147.61604052934396,799
