grid_id,pedestrian_10h,pedestrian_18h,pedestrian_22h,pattern
G005385,477.75905310788573,389.15122718066084,171.1061612962561,"10h=477.7591, 18h=389.1512, 22h=171.1062"
G013995,436.4269667506965,387.3604118645482,512.424766681559,"10h=436.4270, 18h=387.3604, 22h=512.4248"
G005794,473.60749756153325,386.6165391118038,175.58195157993217,"10h=473.6075, 18h=386.6165, 22h=175.5820"
G005522,474.3066240871693,385.7555699778528,169.64600501212266,"10h=474.3066, 18h=385.7556, 22h=169.6460"
G003728,392.1895342415005,382.21845257754944,218.52300964473608,"10h=392.1895, 18h=382.2185, 22h=218.5230"
G003615,387.21437908613325,380.1403598238945,222.43940914490176,"10h=387.2144, 18h=380.1404, 22h=222.4394"
G003612,395.98016339441955,377.32297136657786,199.50770892339384,"10h=395.9802, 18h=377.3230, 22h=199.5077"
G004345,463.9597001728477,376.2683006107573,165.6505152877486,"10h=463.9597, 18h=376.2683, 22h=165.6505"
G005120,462.0319712066289,374.8819072051673,166.2815356365991,"10h=462.0320, 18h=374.8819, 22h=166.2815"
G005795,456.1976776525174,374.5858365570506,184.85090319741352,"10h=456.1977, 18h=374.5858, 22h=184.8509"
G004470,457.98179366254186,372.5054277668186,163.84068992414416,"10h=457.9818, 18h=372.5054, 22h=163.8407"
G008253,156.91750828813318,368.6938112707811,192.40733970109204,"10h=156.9175, 18h=368.6938, 22h=192.4073"
G008120,146.62240366384617,367.061688165427,231.1675525550412,"10h=146.6224, 18h=367.0617, 22h=231.1676"
G003730,372.3051180716213,365.94304631269995,207.2061129521627,"10h=372.3051, 18h=365.9430, 22h=207.2061"
G002520,400.57420800451916,364.3823591010199,407.31339024001517,"10h=400.5742, 18h=364.3824, 22h=407.3134"
G005796,439.2366996046614,362.86529705705357,193.880892349072,"10h=439.2367, 18h=362.8653, 22h=193.8809"
G005935,434.15174899293476,359.3514451829389,196.58810939345784,"10h=434.1517, 18h=359.3514, 22h=196.5881"
G006078,434.15174899293476,359.3514451829389,196.58810939345784,"10h=434.1517, 18h=359.3514, 22h=196.5881"
G006079,434.15174899293476,359.3514451829389,196.58810939345784,"10h=434.1517, 18h=359.3514, 22h=196.5881"
G006224,434.15174899293476,359.3514451829389,196.58810939345784,"10h=434.1517, 18h=359.3514, 22h=196.5881"
G006368,434.15174899293476,359.3514451829389,196.58810939345784,"10h=434.1517, 18h=359.3514, 22h=196.5881"
G006790,434.15174899293476,359.3514451829389,196.58810939345784,"10h=434.1517, 18h=359.3514, 22h=196.5881"
G005936,433.4502712337582,358.70625711647114,196.2457573122478,"10h=433.4503, 18h=358.7063, 22h=196.2458"
G006510,425.6086394218253,358.22662305833575,208.69469020359008,"10h=425.6086, 18h=358.2266, 22h=208.6947"
G006367,423.18638943317916,357.9076993273605,212.12730042423576,"10h=423.1864, 18h=357.9077, 22h=212.1273"
G004727,442.67203733139877,357.7316550302583,160.9749982323003,"10h=442.6720, 18h=357.7317, 22h=160.9750"
G002636,392.6651359982215,356.66098566721956,398.0332055325457,"10h=392.6651, 18h=356.6610, 22h=398.0332"
G006650,406.48029309395827,355.70810366237515,235.8017837805773,"10h=406.4803, 18h=355.7081, 22h=235.8018"
G006366,402.5064637141986,355.1848923926909,241.43316262586694,"10h=402.5065, 18h=355.1849, 22h=241.4332"
G006651,429.59575959719825,355.1610486227779,194.36458565204637,"10h=429.5958, 18h=355.1610, 22h=194.3646"
